participant,item,mass,answer,group,lang,native,Frequent,LIKERT,MINT,,,,NIVEL
27,arboles,nm,1,L2SP,SP,0,f,7,35,,,,
27,buzones,nm,1,L2SP,SP,0,nf,2,35,,,,
27,calles,nm,1,L2SP,SP,0,f,7,35,,,,
27,carnes ,m,1,L2SP,SP,0,nf,3,35,,,,
27,clases,nm,1,L2SP,SP,0,f,7,35,,,,
28,lapices,nm,1,L2SP,SP,0,f,8,26,,,,B
28,jardines,nm,0,L2SP,SP,0,nf,2,26,,,,
28,coches,nm,0,L2SP,SP,0,f,7,26,,,,
28,paises,nm,1,L2SP,SP,0,f,7,26,,,,
28,caries,nm,0,L2SP,SP,0,nf,2,26,,,,
28,peines,nm,0,L2SP,SP,0,nf,2,26,,,,
28,fuentes,nm,0,L2SP,SP,0,nf,3,26,,,,
28,sobres,nm,1,L2SP,SP,0,nf,3,26,,,,
